Code,Name,Brand,Description,Barcode,Supplier,Price Ex,Price In,Value,Stock
BR-BED-GRAN120-0001,BED GRANADA 120 X 195 CM,Sleep Comfort,BED GRANADA SIZE 120 X 195 CM COLOR GRANADA,,Sleep Comfort s.a.l,"9,702.13 ","11,400.00 ","1,745.00 ",16
BR-BED-LAMA105-0001,BED LAMA 105X195CM,Sleep Comfort,BED LAMA SIZE 105 X 195 CM COLOR LAMA,,Sleep Comfort s.a.l,"6,468.09 ","7,600.00 ",985.50 ,4
BR-BED-MOLTO-0001,BED MOLTO 180 X 195 CM,Sleep Comfort,BED MOLTO SIZE 180 X 195 CM FABRICS,,Sleep Comfort s.a.l,"9,702.13 ","11,400.00 ","1,441.68 ",1
BR-BED-QUAD120-0001,BED QUADRILLE 120 X 195 CM,Sleep Comfort,BED QUADRILLE SIZE 120 X 195 CM COLOR QUADRILLE,,Sleep Comfort s.a.l,"6,978.72 ","8,200.00 ",987.72 ,6
BR-BENCH-GRAN-0001,BENCH GRANADA,Sleep Comfort,BENCH GRANADA,,Sleep Comfort s.a.l,"2,723.40 ","3,200.00 ",260.30 ,1
BR-CHEST-GRAN-0001,CHEST OF DRAWERS GRANADA,Sleep Comfort,CHEST OF DRAWERS GRANADA COL GRANADA SILVER HANDLES,,Sleep Comfort s.a.l,"7,536.17 ","8,855.00 ","1,626.08 ",11
BR-CHEST-NORA-0001,CHEST OF DRAWERS NORA,Sleep Comfort,CHEST OF DRAWERS NORA COLOR WALNUT,,Sleep Comfort s.a.l,"10,212.77 ","12,000.00 ","2,030.00 ",1
BR-CHEST-QUAD-0001,CHEST OF DRAWERS QUADRILLE,Sleep Comfort,CHEST OF DRAWERS QUADRILLE COLOR QUADRILLE NO EXTERNAL HANDLES,,Sleep Comfort s.a.l,"5,382.98 ","6,325.00 ",905.58 ,6
BR-CHEST-QUAD-0002,CHEST OF DRAWER QUAD COL. ZEN,Sleep Comfort,CHEST OF DRAWER QUADRILLE COL. ZEN,,Sleep Comfort s.a.l,"5,382.98 ","6,325.00 ",905.58 ,3
BR-CHEST-SIRN-0001,CHEST OF DRAWERS SIRENE WZEN,Sleep Comfort,CHEST OF DRAWERS SIRENE COLOR WENGE ZEN,,Sleep Comfort s.a.l,"8,085.11 ","9,500.00 ","1,266.08 ",1
